global_step,value
0,2.9027881622314453
1,2.8712210655212402
2,2.8996753692626953
3,2.921248435974121
4,2.7536072731018066
5,2.678152084350586
6,2.795090675354004
7,2.776496410369873
8,2.6561288833618164
9,2.797290325164795
10,2.5600426197052
11,2.575493335723877
12,2.601382255554199
13,2.515812635421753
14,2.676787853240967
15,2.5553958415985107
16,2.60691499710083
17,2.5048887729644775
18,2.6218037605285645
19,2.611827850341797
20,2.4909887313842773
21,2.4922266006469727
22,2.716465950012207
23,2.454644203186035
24,2.6480045318603516
25,2.3887839317321777
26,2.4469103813171387
27,2.3696634769439697
28,2.4594578742980957
29,2.390786647796631
30,2.3559768199920654
31,2.4734795093536377
32,2.305708169937134
33,2.1842823028564453
34,2.3545517921447754
35,2.341041088104248
36,2.2530887126922607
37,2.457522392272949
38,2.2384417057037354
39,2.220590353012085
40,2.3120968341827393
41,2.3920435905456543
42,2.289820432662964
43,2.41408109664917
44,2.3237504959106445
45,2.2585086822509766
46,2.4469046592712402
47,2.3320960998535156
48,2.210188865661621
49,2.2176218032836914
50,2.1535725593566895
51,2.1733274459838867
52,2.1121084690093994
53,2.2216439247131348
54,2.4461987018585205
55,2.4257376194000244
56,2.1369705200195312
57,2.119072914123535
58,2.223529815673828
59,2.302565336227417
60,2.4565505981445312
61,2.197460174560547
62,2.0870704650878906
63,2.349134922027588
64,2.2739462852478027
65,2.2651262283325195
66,2.287446975708008
67,2.322413444519043
68,2.206930637359619
69,2.3526930809020996
70,2.145498275756836
71,2.2200028896331787
72,2.1101763248443604
73,2.041512966156006
74,2.1172728538513184
75,2.221585988998413
76,2.1144158840179443
77,2.1867189407348633
78,2.1192800998687744
79,2.0811047554016113
80,2.145573139190674
81,2.2104439735412598
82,2.1627564430236816
83,2.074627637863159
84,2.1524996757507324
85,1.9734418392181396
86,1.9308855533599854
87,2.1003921031951904
88,2.0392816066741943
89,1.947343111038208
90,2.3852152824401855
91,2.4210212230682373
92,2.0210585594177246
93,1.9664831161499023
94,2.023163080215454
95,1.9783082008361816
96,1.9380944967269897
97,2.102114200592041
98,2.000197649002075
99,1.9427194595336914
100,2.0406641960144043
101,1.9085888862609863
102,2.064143657684326
103,1.8875967264175415
104,2.0410990715026855
105,1.9830493927001953
106,2.067753791809082
107,1.9429978132247925
108,2.11527943611145
109,2.032029867172241
110,1.9358320236206055
111,2.171013355255127
112,1.907172441482544
113,2.0648717880249023
114,1.9940345287322998
115,2.109797477722168
116,1.9452781677246094
117,1.9435911178588867
118,1.9280662536621094
119,2.6204440593719482
120,1.9151110649108887
121,2.08766508102417
122,2.240712881088257
123,1.937058448791504
124,1.9724781513214111
125,2.0803961753845215
126,1.8445569276809692
127,2.2666969299316406
128,1.850441813468933
129,1.9885549545288086
130,1.9081910848617554
131,1.9266881942749023
132,1.9336711168289185
133,1.8872886896133423
134,1.9355926513671875
135,1.933164119720459
136,2.2528014183044434
137,2.044656991958618
138,2.0536088943481445
139,2.1933727264404297
140,1.9690319299697876
141,2.2782373428344727
142,1.870901346206665
143,1.823196291923523
144,1.9391493797302246
145,1.9027866125106812
146,1.9263603687286377
147,1.7799222469329834
148,2.018509864807129
149,1.8800959587097168
150,2.1281445026397705
151,1.8636624813079834
152,1.986958622932434
153,1.787459373474121
154,2.093052387237549
155,1.9496577978134155
156,2.1041061878204346
157,1.8867456912994385
158,1.9110174179077148
159,1.8515169620513916
160,1.930033802986145
161,1.9662790298461914
162,1.851940393447876
