global_step,value
0,3.426910400390625
1,3.194140672683716
2,3.038137674331665
3,3.002331256866455
4,2.945812225341797
5,2.9167816638946533
6,2.772108554840088
7,2.9060041904449463
8,2.875596523284912
9,2.6112008094787598
10,2.8977086544036865
11,2.800964832305908
12,2.502784013748169
13,2.6312496662139893
14,2.4044108390808105
15,2.443819522857666
16,2.50946044921875
17,2.6330525875091553
18,2.5443780422210693
19,2.7792515754699707
20,2.304489850997925
21,2.6627249717712402
22,2.2513349056243896
23,2.211421489715576
24,2.190743923187256
25,2.051433801651001
26,2.4255683422088623
27,2.2351431846618652
28,2.084635019302368
29,2.192650079727173
30,2.0754380226135254
31,2.2549967765808105
32,2.330582618713379
33,2.2082059383392334
34,2.2800254821777344
35,2.2433032989501953
36,2.3052029609680176
37,1.9889143705368042
38,2.0619113445281982
39,2.0671162605285645
40,2.0375170707702637
41,2.286288022994995
42,1.9530380964279175
43,1.9450510740280151
44,2.0867323875427246
45,2.088212490081787
46,2.0243966579437256
47,2.2325735092163086
48,2.137338876724243
49,2.2320494651794434
50,2.056065320968628
51,1.9603116512298584
52,2.024684429168701
53,1.8425586223602295
54,1.7736616134643555
55,1.9386786222457886
56,2.3197708129882812
57,2.1127631664276123
58,2.3739523887634277
59,2.079286575317383
60,1.9608135223388672
61,2.093533992767334
62,2.3527393341064453
63,2.0396924018859863
64,1.9392011165618896
65,1.8347340822219849
66,1.8902838230133057
67,2.360752582550049
68,1.8826491832733154
69,1.8322008848190308
70,1.8863844871520996
71,1.8158272504806519
72,2.1449265480041504
73,1.9792327880859375
74,2.133498191833496
75,1.9431030750274658
76,1.896746277809143
77,2.7340786457061768
78,2.127729654312134
79,1.8012784719467163
80,1.838748574256897
81,1.8808172941207886
82,1.8232911825180054
83,1.7726703882217407
84,1.9340962171554565
85,2.149930953979492
86,1.896862506866455
87,1.9093332290649414
88,2.1843643188476562
89,1.8624211549758911
90,1.7958592176437378
91,2.170640230178833
92,1.800243616104126
93,1.9255893230438232
94,1.8860043287277222
95,1.9458439350128174
96,1.9146260023117065
97,1.750688910484314
98,1.8565974235534668
99,1.711051344871521
100,1.7944847345352173
101,1.8526875972747803
102,1.809249758720398
103,1.9201735258102417
104,1.7899194955825806
105,2.410430908203125
106,1.8499497175216675
107,2.170767068862915
108,1.7291377782821655
109,1.667468547821045
110,1.679366946220398
111,1.749441385269165
112,1.8652129173278809
113,2.009835720062256
114,2.2475876808166504
115,1.9952642917633057
116,1.7451939582824707
117,1.6843533515930176
118,1.7693003416061401
119,1.9816899299621582
120,1.7987275123596191
121,1.8866709470748901
122,1.6734675168991089
123,1.6734094619750977
124,1.8537260293960571
125,2.088491201400757
126,1.9229921102523804
127,1.8402162790298462
128,1.876312017440796
129,1.7131154537200928
130,1.7182914018630981
131,1.679702877998352
132,1.8709957599639893
133,1.6839064359664917
134,1.8006125688552856
135,1.4911690950393677
136,1.670864462852478
137,1.5684303045272827
138,2.1876516342163086
139,1.525057315826416
140,1.9950860738754272
141,1.7340492010116577
142,1.5804003477096558
143,1.7962292432785034
144,1.8318928480148315
145,1.7892239093780518
146,1.5702744722366333
147,1.4925503730773926
148,1.4131149053573608
149,1.77431321144104
150,1.6963361501693726
151,1.4396586418151855
152,1.4373321533203125
153,1.8328971862792969
154,1.9324744939804077
155,1.8931456804275513
156,1.3717877864837646
157,1.5448358058929443
158,1.725053071975708
159,1.547130823135376
160,1.820902943611145
161,1.6641294956207275
162,1.4597365856170654
163,1.746842622756958
164,1.4715662002563477
165,1.7405614852905273
166,1.4455056190490723
167,2.244215726852417
168,1.9788801670074463
169,1.6244748830795288
170,1.6655018329620361
171,1.5260376930236816
172,1.5301872491836548
173,1.435950756072998
174,1.7691962718963623
175,1.5297975540161133
176,1.7822635173797607
177,1.5204428434371948
178,1.5705616474151611
179,1.626680612564087
180,1.4671175479888916
181,1.4763013124465942
182,1.6083298921585083
183,1.8572678565979004
184,2.211005210876465
185,1.4729105234146118
186,1.6465914249420166
187,1.7466801404953003
188,1.4785971641540527
189,1.657894253730774
190,1.3564046621322632
191,1.8212623596191406
192,1.5251579284667969
193,1.7859792709350586
194,1.332139253616333
195,1.3416801691055298
196,1.5891178846359253
197,1.4103245735168457
198,1.3002821207046509
199,1.2422124147415161
200,1.6232327222824097
201,1.4318100214004517
202,1.6760672330856323
203,1.5628507137298584
204,1.5436636209487915
205,1.3660948276519775
206,1.560510277748108
207,1.3612017631530762
208,1.6271311044692993
209,1.392506718635559
210,1.5968326330184937
