global_step,loss
0,3.5323503017425537
1,3.269409656524658
2,2.956639289855957
3,2.665580987930298
4,2.6959848403930664
5,2.1158394813537598
6,2.0083322525024414
7,1.7955915927886963
8,2.0023741722106934
9,1.7113903760910034
10,2.3885579109191895
11,1.9569061994552612
12,1.4796231985092163
13,1.419217586517334
14,1.382035255432129
15,2.021519422531128
16,1.6745458841323853
17,1.625461459159851
18,1.8044739961624146
19,1.3993115425109863
20,1.2308011054992676
21,1.6103540658950806
22,1.2378203868865967
23,1.2694613933563232
24,1.6194963455200195
25,1.5456085205078125
26,1.1238675117492676
27,1.374873161315918
28,1.5114582777023315
29,1.0891425609588623
30,1.3449702262878418
31,1.106605887413025
32,1.5851072072982788
33,1.4446423053741455
34,1.1499500274658203
35,0.9872149229049683
36,1.2709006071090698
37,1.4255080223083496
38,1.2455540895462036
39,1.1445294618606567
40,1.2243428230285645
41,1.55220365524292
42,1.1974676847457886
43,1.1382794380187988
44,1.9172919988632202
45,1.1584243774414062
46,1.5011060237884521
47,1.7427878379821777
48,2.1548569202423096
49,1.1454864740371704
50,1.7908636331558228
51,1.0260848999023438
52,2.328221559524536
53,1.3030530214309692
54,1.6544991731643677
55,1.8891099691390991
56,1.541016697883606
57,1.2406647205352783
58,1.089601993560791
59,1.0311559438705444
60,1.1666994094848633
61,1.5537071228027344
62,1.1198954582214355
63,1.2270816564559937
64,1.1713597774505615
65,1.2003686428070068
66,1.1676331758499146
67,1.4178346395492554
68,1.5569961071014404
69,1.1541002988815308
70,1.1882779598236084
71,1.595315933227539
72,1.5264230966567993
73,1.2582074403762817
74,1.298872947692871
75,0.941874623298645
76,1.4966890811920166
77,1.2820369005203247
78,1.6960973739624023
79,1.0040162801742554
80,0.9213829636573792
81,1.1744970083236694
82,1.1989929676055908
83,1.2769635915756226
84,1.7236201763153076
85,1.3102575540542603
86,0.9313167333602905
87,1.2763960361480713
88,1.0730196237564087
89,0.8619211912155151
90,1.0788390636444092
91,1.3489553928375244
92,0.7589272856712341
93,1.0923655033111572
94,0.8410130739212036
95,1.5222346782684326
96,1.2952326536178589
97,1.4278450012207031
98,1.5407356023788452
99,1.2063907384872437
100,1.4809463024139404
101,0.9752009510993958
102,0.9213191866874695
103,1.3170826435089111
104,1.770573377609253
105,1.5697828531265259
106,1.4216113090515137
107,1.5914326906204224
108,1.469091534614563
109,1.0373196601867676
110,1.20406973361969
111,0.9871652126312256
112,1.104116678237915
113,1.1079026460647583
114,0.8750571012496948
115,0.9841997027397156
116,0.8310131430625916
117,1.2252357006072998
118,0.9518082141876221
119,0.9503834843635559
120,1.440064787864685
121,0.9928715825080872
122,0.9231424331665039
123,0.9465237855911255
124,1.8146228790283203
125,1.3357446193695068
126,0.8084238767623901
127,2.9036784172058105
128,0.7879472970962524
129,1.179080843925476
130,1.3198037147521973
131,1.3793768882751465
132,1.0679510831832886
133,1.2443424463272095
134,1.0231924057006836
135,1.1618285179138184
136,1.2507117986679077
137,1.0191638469696045
138,0.7607743144035339
139,1.0636786222457886
140,1.1312607526779175
141,1.2061926126480103
142,1.2386996746063232
143,1.0287187099456787
144,1.4948174953460693
145,1.0973278284072876
146,2.117630958557129
147,1.7978278398513794
148,1.37618887424469
149,1.578469157218933
150,1.0852690935134888
151,1.2523419857025146
152,1.1101213693618774
153,1.0581942796707153
154,1.1322572231292725
155,0.8890488743782043
156,1.683752417564392
157,1.2418612241744995
158,1.3492549657821655
159,0.9080914855003357
160,0.8900687098503113
161,1.1576299667358398
162,1.058597445487976
163,0.9287316799163818
164,0.9903380274772644
165,1.2100276947021484
166,1.575147032737732
167,0.7628854513168335
168,2.0950868129730225
169,1.0251637697219849
170,1.0410343408584595
171,1.1349443197250366
172,0.8756762146949768
173,0.9637700319290161
174,0.8503738045692444
175,0.8992109298706055
176,1.0820026397705078
177,1.110095739364624
178,1.061510682106018
179,0.9423901438713074
180,0.9927444458007812
181,0.9803564548492432
182,1.3712338209152222
183,2.2161221504211426
184,1.166941523551941
185,1.1286031007766724
186,0.9291090369224548
187,1.4945003986358643
188,1.1828521490097046
189,1.0446498394012451
190,2.171781063079834
191,1.6227092742919922
192,2.1125848293304443
193,1.177633285522461
194,1.4143998622894287
195,1.060848355293274
196,0.9454147219657898
197,1.1489334106445312
198,1.0504662990570068
199,1.62714684009552
200,1.3715656995773315
201,2.2586212158203125
202,0.7736911773681641
203,1.4594275951385498
204,1.2424812316894531
205,0.9709378480911255
206,1.3588290214538574
207,0.9738482236862183
208,1.0282405614852905
209,1.4365365505218506
210,1.2893720865249634
211,0.9199832081794739
212,1.650952696800232
213,1.088775396347046
214,0.9800616502761841
215,1.247446060180664
216,1.0027482509613037
217,0.9351516366004944
218,1.1732585430145264
219,0.8713609576225281
220,1.2355486154556274
221,0.700819730758667
